business_id,application_date,business_name,industry,region,years_in_business,employees,loan_amount,loan_purpose,loan_term,annual_revenue,monthly_expenses,cash_balance,existing_debt,monthly_debt_payments,credit_score,missed_payments,prior_defaults,collateral_type,collateral_value,debt_to_revenue_ratio,debt_service_coverage_ratio,loan_to_collateral_ratio,risk_score,risk_level,decision,interest_rate,pricing_tier,monthly_payment,total_repayment,total_interest_income,approval_probability
796,2025-04-28,Luderitz Tours,Logistics,Kavango West,6,25,2155835,Payroll Support,60,5923875,567948,1433214,102566,8792,745,8,1,Livestock,603356,0.02,-8.45,3.57,-2.9,High Risk,Rejected,0.0,No Pricing Offer,0.0,0.0,0.0,0.0
797,2025-06-17,Katima Farming,Transport,Oshikoto,24,137,1657975,Payroll Support,48,14454147,644374,90338,3364583,27816,691,5,1,Equipment,4987794,0.23,20.14,0.33,-16.7,High Risk,Rejected,0.0,No Pricing Offer,0.0,0.0,0.0,0.0
798,2025-08-25,Etosha Construction,Transport,Hardap,8,82,2338266,Vehicle Purchase,36,8674292,260881,104755,2641046,103126,649,4,0,Savings,4702449,0.3,4.48,0.5,-9.4,High Risk,Rejected,0.0,No Pricing Offer,0.0,0.0,0.0,0.0
799,2025-07-09,Walvis Manufacturing,Mining Services,Hardap,12,196,649869,Working Capital,60,14987121,431221,2921188,1593101,57062,719,6,0,Livestock,3621172,0.11,14.33,0.18,54.4,Medium Risk,Review,0.15,Elevated Risk Premium,15460.34,927620.4,277751.4,59.84
800,2025-08-05,Otji Construction,Transport,Hardap,11,131,1629221,Technology Upgrade,48,1262263,111136,1063298,649127,31705,689,5,0,Savings,325118,0.51,-0.19,5.01,30.2,High Risk,Rejected,0.0,No Pricing Offer,0.0,0.0,0.0,33.22
801,2025-01-16,Erongo Food Services,Construction,Hardap,9,146,1629071,Construction,36,1700924,354752,2302224,1736545,105978,581,7,1,Vehicle,969657,1.02,-2.01,1.68,-5.7,High Risk,Rejected,0.0,No Pricing Offer,0.0,0.0,0.0,0.0
802,2025-12-27,Etosha Farming,Technology,Otjozondjupa,5,111,1883399,Technology Upgrade,12,2761855,47854,879865,742823,31086,776,4,0,Vehicle,1345956,0.27,5.86,1.4,33.3,High Risk,Rejected,0.0,No Pricing Offer,0.0,0.0,0.0,36.63
803,2025-03-17,Kalahari Trading,Transport,Kavango West,21,175,2092865,Equipment Purchase,12,9505886,770353,1597725,1514821,41949,573,4,0,Inventory,458665,0.16,0.52,4.56,43.6,High Risk,Rejected,0.0,No Pricing Offer,0.0,0.0,0.0,47.96
804,2025-11-15,Luderitz Construction,Food Services,Khomas,25,88,70757,Construction,24,11791539,340357,2692333,192592,35656,541,7,0,Livestock,3803493,0.02,18.01,0.02,57.5,Medium Risk,Review,0.15,Elevated Risk Premium,3430.77,82338.48,11581.48,63.25
805,2025-05-04,Gobabis Manufacturing,Construction,Hardap,7,113,1449546,Expansion,12,12366192,651093,1713459,3697840,95454,845,3,0,Property,4677395,0.3,3.97,0.31,38.3,High Risk,Rejected,0.0,No Pricing Offer,0.0,0.0,0.0,42.13
806,2025-06-05,Kalahari Farming,Construction,Kavango East,6,67,1505644,Construction,48,12644621,796250,2104025,2412771,11743,834,2,0,Vehicle,2218636,0.19,21.93,0.68,64.4,Medium Risk,Review,0.15,Elevated Risk Premium,41903.2,2011353.6,505709.6,70.84
807,2025-02-26,Etosha Food Services,Tourism,Khomas,8,137,1760078,Inventory,24,6477186,614330,874848,495521,89054,753,6,0,Property,517705,0.08,-0.84,3.4,21.8,High Risk,Rejected,0.0,No Pricing Offer,0.0,0.0,0.0,23.98
808,2025-05-26,Walvis Manufacturing,Retail,Hardap,21,79,1994748,Equipment Purchase,24,7196040,522172,2749356,2437664,96264,665,3,1,Property,4235282,0.34,0.81,0.47,54.6,Medium Risk,Review,0.15,Elevated Risk Premium,96718.64,2321247.36,326499.36,60.06
809,2025-07-13,Windhoek Manufacturing,Retail,Hardap,21,195,133048,Expansion,12,10420393,181447,894516,1263449,30584,687,6,0,Vehicle,3045844,0.12,22.46,0.04,27.5,High Risk,Rejected,0.0,No Pricing Offer,0.0,0.0,0.0,30.25
810,2025-01-08,Okavango Manufacturing,Food Services,Kavango West,18,30,981568,Construction,12,8508888,451077,521196,3903725,30431,850,0,0,Savings,172548,0.46,8.48,5.69,53.4,Medium Risk,Review,0.15,Elevated Risk Premium,88594.67,1063136.04,81568.04,58.74
811,2025-06-22,Otji Farming,Agriculture,Khomas,13,158,2329246,Equipment Purchase,48,4292747,101707,52930,2786553,119533,729,8,0,Savings,2198575,0.65,2.14,1.06,-28.4,High Risk,Rejected,0.0,No Pricing Offer,0.0,0.0,0.0,0.0
812,2025-06-16,Kalahari Retail,Tourism,Khomas,1,240,1748349,Expansion,24,9282816,285107,2149358,1077864,52876,520,3,1,Livestock,3900852,0.12,9.24,0.45,11.7,High Risk,Rejected,0.0,No Pricing Offer,0.0,0.0,0.0,12.87
813,2025-10-27,Luderitz Food Services,Manufacturing,Oshana,22,110,586211,Expansion,60,11736454,715352,2388200,1556189,22544,640,1,1,Vehicle,2284146,0.13,11.65,0.26,71.2,Medium Risk,Review,0.15,Elevated Risk Premium,13945.92,836755.2,250544.2,78.32
814,2025-10-23,Gobabis Farming,Retail,Hardap,17,128,2291604,Equipment Purchase,48,12576859,792307,2849348,3507724,111877,472,6,0,Equipment,4764903,0.28,2.29,0.48,16.6,High Risk,Rejected,0.0,No Pricing Offer,0.0,0.0,0.0,18.26
815,2025-12-09,Oshana Logistics,Construction,Kavango East,21,50,1063986,Construction,12,8071053,468652,760012,825151,109502,591,6,0,Savings,3403850,0.1,1.86,0.31,19.5,High Risk,Rejected,0.0,No Pricing Offer,0.0,0.0,0.0,21.45
816,2025-01-17,Namib Fishing,Manufacturing,Oshana,11,124,1440823,Payroll Support,60,6747723,61874,2115885,1539371,87165,702,7,0,Property,2592591,0.23,5.74,0.56,27.6,High Risk,Rejected,0.0,No Pricing Offer,0.0,0.0,0.0,30.36
817,2025-06-28,Kalahari Supplies,Transport,Kavango East,16,70,426872,Inventory,60,13195937,382897,2060033,126910,42172,630,4,0,Equipment,1701855,0.01,17.0,0.25,64.9,Medium Risk,Review,0.15,Elevated Risk Premium,10155.26,609315.6,182443.6,71.39
818,2025-02-26,Okavango Logistics,Logistics,Kavango East,12,233,1133683,Expansion,36,8411765,608979,706732,3848696,60502,744,2,1,Livestock,4872254,0.46,1.52,0.23,2.0,High Risk,Rejected,0.0,No Pricing Offer,0.0,0.0,0.0,2.2
819,2025-09-11,Katima Fishing,Agriculture,Oshikoto,16,26,161703,Payroll Support,48,6722313,390516,2762024,1171831,95773,685,0,0,Livestock,3724223,0.17,1.77,0.04,106.0,Low Risk,Approved,0.08,Standard Risk-Based Rate,3947.64,189486.72,27783.72,100.0
820,2025-12-08,Luderitz Farming,Mining Services,Erongo,9,65,1228735,Technology Upgrade,24,11881890,269876,2168152,2113289,81733,757,6,0,Inventory,109311,0.18,8.81,11.24,33.4,High Risk,Rejected,0.0,No Pricing Offer,0.0,0.0,0.0,36.74
821,2025-12-27,Etosha Food Services,Manufacturing,Oshikoto,11,92,633451,Equipment Purchase,60,9883272,400976,1830989,1854333,6566,499,0,0,Vehicle,4937155,0.19,64.37,0.13,54.5,Medium Risk,Review,0.15,Elevated Risk Premium,15069.76,904185.6,270734.6,59.95
822,2025-10-18,Walvis Tours,Food Services,Kavango East,6,43,774853,Payroll Support,36,4584352,482320,754155,2872786,54401,637,7,1,Inventory,4866539,0.63,-1.84,0.16,-46.9,High Risk,Rejected,0.0,No Pricing Offer,0.0,0.0,0.0,0.0
823,2025-10-12,Swakop Tours,Logistics,Oshikoto,18,112,494445,Working Capital,36,7075823,740563,1841651,1585258,107713,788,4,0,Livestock,2054228,0.22,-1.4,0.24,64.8,Medium Risk,Review,0.15,Elevated Risk Premium,17140.1,617043.6,122598.6,71.28
824,2025-07-31,Erongo Construction,Construction,Oshikoto,2,62,550959,Inventory,12,10536951,647338,467945,3049172,107900,718,7,0,Equipment,3993039,0.29,2.14,0.14,-32.3,High Risk,Rejected,0.0,No Pricing Offer,0.0,0.0,0.0,0.0
825,2025-08-31,Kalahari Construction,Construction,Otjozondjupa,9,224,187947,Payroll Support,12,4977808,194808,1365067,1423161,117870,641,2,1,Livestock,1887813,0.29,1.87,0.1,24.7,High Risk,Rejected,0.0,No Pricing Offer,0.0,0.0,0.0,27.17
826,2025-03-01,Walvis Manufacturing,Tourism,Kavango East,19,95,1461872,Technology Upgrade,60,14980433,275864,2715653,2992005,99748,764,3,0,Equipment,4272781,0.2,9.75,0.34,75.3,Medium Risk,Review,0.15,Elevated Risk Premium,34777.83,2086669.8,624797.8,82.83
827,2025-10-15,Caprivi Manufacturing,Transport,Kavango East,25,11,2282089,Inventory,48,8291599,582460,2351334,1495083,87747,638,2,1,Property,2794996,0.18,1.24,0.82,67.4,Medium Risk,Review,0.15,Elevated Risk Premium,63512.24,3048587.52,766498.52,74.14
828,2025-11-17,Caprivi Trading,Technology,Oshana,20,244,395807,Construction,24,9431311,189578,126946,644851,100002,471,3,1,Inventory,4818151,0.07,5.96,0.08,-0.8,High Risk,Rejected,0.0,No Pricing Offer,0.0,0.0,0.0,0.0
829,2025-12-14,Katima Transport,Tourism,Karas,14,4,999690,Vehicle Purchase,48,11880631,60238,78927,3782462,35029,651,5,0,Inventory,3767371,0.32,26.54,0.27,-20.1,High Risk,Rejected,0.0,No Pricing Offer,0.0,0.0,0.0,0.0
830,2025-10-23,Kunene Construction,Food Services,Otjozondjupa,17,112,1961230,Technology Upgrade,36,14805407,255799,2110791,3303133,65623,533,8,0,Vehicle,4911788,0.22,14.9,0.4,-6.0,High Risk,Rejected,0.0,No Pricing Offer,0.0,0.0,0.0,0.0
831,2025-02-07,Erongo Fishing,Mining Services,Kavango East,4,122,2346705,Inventory,60,14263116,341855,1977328,3736790,96598,655,1,0,Savings,2715525,0.26,8.77,0.86,35.7,High Risk,Rejected,0.0,No Pricing Offer,0.0,0.0,0.0,39.27
832,2025-01-17,Erongo Trading,Manufacturing,Oshikoto,7,62,1630273,Working Capital,60,2468657,120960,771932,2116030,107375,767,3,1,Inventory,3720562,0.86,0.79,0.44,7.5,High Risk,Rejected,0.0,No Pricing Offer,0.0,0.0,0.0,8.25
833,2025-11-15,Okavango Fishing,Food Services,Erongo,9,12,433938,Construction,12,12521838,660378,701688,3511713,18007,838,3,0,Inventory,4560114,0.28,21.28,0.1,22.2,High Risk,Rejected,0.0,No Pricing Offer,0.0,0.0,0.0,24.42
834,2025-03-26,Katima Trading,Logistics,Oshana,16,13,440824,Vehicle Purchase,48,14488754,254849,2717642,577930,94015,503,8,0,Property,3743864,0.04,10.13,0.12,28.9,High Risk,Rejected,0.0,No Pricing Offer,0.0,0.0,0.0,31.79
835,2025-03-09,Erongo Farming,Mining Services,Kavango East,13,2,1617918,Vehicle Purchase,36,13979598,581889,2737169,1803017,105067,722,7,0,Savings,545428,0.13,5.55,2.97,42.4,High Risk,Rejected,0.0,No Pricing Offer,0.0,0.0,0.0,46.64
836,2025-05-09,Namib Construction,Food Services,Oshikoto,7,23,245448,Inventory,60,14647090,598837,2156244,1529665,80683,820,5,0,Inventory,4340749,0.1,7.71,0.06,50.3,Medium Risk,Review,0.15,Elevated Risk Premium,5839.19,350351.4,104903.4,55.33
837,2025-09-22,Oshana Construction,Logistics,Erongo,22,76,181748,Technology Upgrade,36,7298167,191679,1814298,336632,33374,744,4,0,Savings,67186,0.05,12.48,2.71,78.3,Medium Risk,Review,0.15,Elevated Risk Premium,6300.35,226812.6,45064.6,86.13
838,2025-01-31,Erongo Tours,Agriculture,Oshikoto,22,27,1760558,Equipment Purchase,60,6603985,31242,1848654,2796212,48342,489,1,1,Vehicle,1306609,0.42,10.74,1.35,32.9,High Risk,Rejected,0.0,No Pricing Offer,0.0,0.0,0.0,36.19
839,2025-06-29,Kalahari Food Services,Construction,Oshana,13,57,1714547,Equipment Purchase,60,4930583,465115,2179035,901217,47146,702,8,1,Property,2210028,0.18,-1.15,0.78,10.3,High Risk,Rejected,0.0,No Pricing Offer,0.0,0.0,0.0,11.33
840,2025-10-12,Namib Construction,Construction,Kavango West,16,155,215518,Technology Upgrade,36,7729707,438259,1979745,1545363,25321,473,7,0,Inventory,1926864,0.2,8.13,0.11,9.4,High Risk,Rejected,0.0,No Pricing Offer,0.0,0.0,0.0,10.34
841,2025-12-31,Okavango Transport,Tourism,Oshana,4,134,1166783,Inventory,48,13965937,794105,1682669,909295,111141,568,8,1,Savings,4603880,0.07,3.33,0.25,-26.6,High Risk,Rejected,0.0,No Pricing Offer,0.0,0.0,0.0,0.0
842,2025-12-31,Erongo Trading,Food Services,Khomas,10,29,497192,Payroll Support,12,1777824,354073,392892,808746,90253,584,3,0,Inventory,2518677,0.45,-2.28,0.2,19.2,High Risk,Rejected,0.0,No Pricing Offer,0.0,0.0,0.0,21.12
843,2025-05-15,Walvis Tours,Technology,Kavango West,7,136,2211151,Expansion,48,1286487,481432,1831916,2724958,5221,725,6,1,Vehicle,4750521,2.12,-71.68,0.47,-5.6,High Risk,Rejected,0.0,No Pricing Offer,0.0,0.0,0.0,0.0
844,2025-05-26,Otji Food Services,Tourism,Oshikoto,6,210,535486,Payroll Support,24,5719829,263699,1255026,282582,81551,584,6,0,Inventory,3695750,0.05,2.61,0.14,11.7,High Risk,Rejected,0.0,No Pricing Offer,0.0,0.0,0.0,12.87
845,2025-02-05,Walvis Food Services,Construction,Hardap,17,139,1812977,Construction,60,14163644,784433,1023409,1499282,107267,615,2,1,Equipment,314610,0.11,3.69,5.76,26.5,High Risk,Rejected,0.0,No Pricing Offer,0.0,0.0,0.0,29.15
846,2025-07-26,Gobabis Logistics,Mining Services,Karas,20,199,2356815,Construction,12,14910783,69406,1766100,927312,18863,478,2,0,Savings,823928,0.06,62.19,2.86,57.8,Medium Risk,Review,0.15,Elevated Risk Premium,212722.14,2552665.68,195850.68,63.58
847,2025-06-07,Gobabis Tours,Logistics,Oshikoto,12,49,630288,Payroll Support,24,12836198,747300,624566,3321156,65379,754,4,0,Savings,1161037,0.26,4.93,0.54,10.7,High Risk,Rejected,0.0,No Pricing Offer,0.0,0.0,0.0,11.77
848,2025-09-13,Kalahari Retail,Retail,Karas,17,90,1834843,Expansion,36,5822817,659966,572662,84074,81547,711,3,1,Property,4996881,0.01,-2.14,0.37,33.2,High Risk,Rejected,0.0,No Pricing Offer,0.0,0.0,0.0,36.52
849,2025-07-14,Luderitz Technologies,Tourism,Otjozondjupa,25,68,529870,Technology Upgrade,12,6902199,746620,2238854,857790,71790,525,8,0,Savings,3527054,0.12,-2.39,0.15,32.2,High Risk,Rejected,0.0,No Pricing Offer,0.0,0.0,0.0,35.42
850,2025-05-12,Swakop Logistics,Technology,Hardap,8,205,568855,Vehicle Purchase,60,12933367,545182,412220,2245233,59416,597,7,0,Inventory,527025,0.17,8.96,1.08,-28.5,High Risk,Rejected,0.0,No Pricing Offer,0.0,0.0,0.0,0.0
851,2025-06-03,Luderitz Transport,Agriculture,Erongo,25,237,1773085,Expansion,48,13283363,750612,1834091,2611211,44727,761,4,1,Savings,3597156,0.2,7.97,0.49,42.2,High Risk,Rejected,0.0,No Pricing Offer,0.0,0.0,0.0,46.42
852,2025-11-24,Windhoek Farming,Food Services,Kavango West,12,222,2402195,Expansion,60,2924911,315481,1961965,2964802,100075,536,4,0,Property,225764,1.01,-0.72,10.64,19.2,High Risk,Rejected,0.0,No Pricing Offer,0.0,0.0,0.0,21.12
853,2025-04-30,Kunene Trading,Agriculture,Kavango West,21,161,241105,Equipment Purchase,24,11850484,253205,847966,3145339,43854,729,7,0,Vehicle,4310110,0.27,16.75,0.06,3.9,High Risk,Rejected,0.0,No Pricing Offer,0.0,0.0,0.0,4.29
854,2025-08-08,Namib Construction,Transport,Khomas,16,115,427428,Construction,48,1789212,525108,591430,1138861,104631,835,3,1,Equipment,3623000,0.64,-3.59,0.12,33.9,High Risk,Rejected,0.0,No Pricing Offer,0.0,0.0,0.0,37.29
855,2025-05-31,Kunene Transport,Manufacturing,Kavango West,12,90,1492397,Equipment Purchase,24,10058268,427670,1090726,3119284,54740,808,1,1,Vehicle,230724,0.31,7.5,6.47,31.4,High Risk,Rejected,0.0,No Pricing Offer,0.0,0.0,0.0,34.54
856,2025-01-09,Etosha Fishing,Agriculture,Karas,25,31,1115732,Equipment Purchase,48,319058,567711,655533,748843,109818,455,2,0,Property,2279853,2.35,-4.93,0.49,42.6,High Risk,Rejected,0.0,No Pricing Offer,0.0,0.0,0.0,46.86
857,2025-03-01,Windhoek Farming,Logistics,Otjozondjupa,3,165,583486,Vehicle Purchase,24,2364121,172073,75207,1021809,113356,825,6,0,Inventory,4018987,0.43,0.22,0.15,0.3,High Risk,Rejected,0.0,No Pricing Offer,0.0,0.0,0.0,0.33
858,2025-12-13,Walvis Manufacturing,Construction,Otjozondjupa,6,44,905127,Working Capital,36,8045160,186830,912834,668270,73412,563,0,0,Equipment,1228575,0.08,6.59,0.74,46.9,Medium Risk,Review,0.15,Elevated Risk Premium,31376.52,1129554.72,224427.72,51.59
859,2025-09-19,Namib Construction,Technology,Oshana,22,218,1149350,Technology Upgrade,24,6819404,718878,1205737,1477538,45186,805,7,0,Equipment,1411276,0.22,-3.33,0.81,36.8,High Risk,Rejected,0.0,No Pricing Offer,0.0,0.0,0.0,40.48
860,2025-01-08,Caprivi Manufacturing,Food Services,Karas,16,115,2380416,Working Capital,24,10311818,706938,1776861,2966441,97215,454,4,0,Savings,3497004,0.29,1.57,0.68,13.3,High Risk,Rejected,0.0,No Pricing Offer,0.0,0.0,0.0,14.63
861,2025-12-31,Swakop Supplies,Retail,Hardap,4,129,344590,Technology Upgrade,36,6182586,227928,1089701,2508569,25503,814,7,0,Property,2780573,0.41,11.26,0.12,-1.9,High Risk,Rejected,0.0,No Pricing Offer,0.0,0.0,0.0,0.0
862,2025-02-21,Namib Logistics,Food Services,Khomas,11,87,1412174,Equipment Purchase,36,5972545,28786,1679471,1167625,32423,616,3,0,Inventory,1939826,0.2,14.46,0.73,46.0,Medium Risk,Review,0.15,Elevated Risk Premium,48953.48,1762325.28,350151.28,50.6
863,2025-09-09,Erongo Transport,Agriculture,Kavango East,19,21,1831259,Expansion,48,2546540,251494,1610901,1103933,33118,500,6,1,Inventory,4684077,0.43,-1.19,0.39,1.7,High Risk,Rejected,0.0,No Pricing Offer,0.0,0.0,0.0,1.87
864,2025-08-04,Windhoek Tours,Mining Services,Oshikoto,12,21,653252,Inventory,60,13349018,640390,2128199,902768,14105,650,4,1,Livestock,4442567,0.07,33.47,0.15,34.5,High Risk,Rejected,0.0,No Pricing Offer,0.0,0.0,0.0,37.95
865,2025-04-27,Kunene Farming,Manufacturing,Hardap,13,5,271850,Inventory,24,1476174,207830,793504,2633861,73899,636,0,0,Inventory,2772664,1.78,-1.15,0.1,42.6,High Risk,Rejected,0.0,No Pricing Offer,0.0,0.0,0.0,46.86
866,2025-02-02,Katima Tours,Transport,Oshikoto,6,192,2388695,Expansion,12,10376048,750663,1975734,1298797,56709,472,1,0,Vehicle,491603,0.13,2.01,4.86,44.7,High Risk,Rejected,0.0,No Pricing Offer,0.0,0.0,0.0,49.17
867,2025-10-04,Oshana Retail,Tourism,Hardap,5,17,2200617,Equipment Purchase,36,14284500,286984,2858676,2229622,55826,636,8,0,Property,4225986,0.16,16.18,0.52,12.0,High Risk,Rejected,0.0,No Pricing Offer,0.0,0.0,0.0,13.2
868,2025-09-20,Erongo Construction,Mining Services,Kavango West,1,54,927282,Expansion,36,14814569,394228,383526,1037656,78210,695,8,0,Savings,3123996,0.07,10.74,0.3,-25.7,High Risk,Rejected,0.0,No Pricing Offer,0.0,0.0,0.0,0.0
869,2025-05-27,Katima Retail,Agriculture,Otjozondjupa,21,123,1728821,Payroll Support,60,13734287,574039,1267936,3743022,51314,718,3,0,Equipment,1858528,0.27,11.12,0.93,37.2,High Risk,Rejected,0.0,No Pricing Offer,0.0,0.0,0.0,40.92
870,2025-04-08,Otji Transport,Retail,Erongo,20,193,1741998,Payroll Support,48,11865356,527687,418000,1169244,75392,515,2,1,Property,3997751,0.1,6.12,0.44,12.2,High Risk,Rejected,0.0,No Pricing Offer,0.0,0.0,0.0,13.42
871,2025-08-14,Windhoek Food Services,Tourism,Otjozondjupa,13,107,836251,Vehicle Purchase,48,10774547,356445,1312295,2120206,91167,734,7,0,Savings,1896061,0.2,5.94,0.44,11.9,High Risk,Rejected,0.0,No Pricing Offer,0.0,0.0,0.0,13.09
872,2025-03-22,Erongo Construction,Manufacturing,Karas,1,119,1148625,Inventory,48,1107111,401331,1686666,2376088,118061,510,1,0,Savings,1791594,2.15,-2.62,0.64,24.5,High Risk,Rejected,0.0,No Pricing Offer,0.0,0.0,0.0,26.95
873,2025-06-01,Luderitz Logistics,Manufacturing,Karas,25,250,1192888,Equipment Purchase,36,9744330,464026,745478,513613,7637,720,3,0,Vehicle,134550,0.05,45.57,8.87,65.3,Medium Risk,Review,0.15,Elevated Risk Premium,41351.85,1488666.6,295778.6,71.83
874,2025-05-13,Caprivi Supplies,Transport,Kavango East,11,191,168967,Construction,60,13803698,336063,539863,3326146,59661,728,6,1,Property,3386646,0.24,13.65,0.05,-31.2,High Risk,Rejected,0.0,No Pricing Offer,0.0,0.0,0.0,0.0
875,2025-09-19,Kalahari Food Services,Technology,Karas,11,37,423483,Working Capital,60,11302486,774641,780018,886238,79875,538,0,0,Vehicle,3178030,0.08,2.09,0.13,47.0,Medium Risk,Review,0.15,Elevated Risk Premium,10074.63,604477.8,180994.8,51.7
876,2025-05-05,Kalahari Construction,Retail,Otjozondjupa,13,167,281371,Working Capital,36,5957079,47380,2337820,1368262,113532,803,3,0,Equipment,988592,0.23,3.96,0.28,78.9,Medium Risk,Review,0.15,Elevated Risk Premium,9753.82,351137.52,69766.52,86.79
877,2025-02-21,Erongo Retail,Food Services,Karas,9,174,2197738,Vehicle Purchase,60,13333842,65649,2910663,3863033,64577,578,8,0,Vehicle,2027557,0.29,16.19,1.08,-3.1,High Risk,Rejected,0.0,No Pricing Offer,0.0,0.0,0.0,0.0
878,2025-06-20,Kunene Farming,Agriculture,Otjozondjupa,23,198,1945049,Working Capital,12,3850131,447676,411237,900019,67481,511,5,1,Savings,660363,0.23,-1.88,2.95,-5.2,High Risk,Rejected,0.0,No Pricing Offer,0.0,0.0,0.0,0.0
879,2025-04-14,Caprivi Technologies,Technology,Kavango East,12,119,644749,Inventory,24,11117469,544081,2137437,1010604,13724,728,1,0,Vehicle,2074037,0.09,27.86,0.31,85.4,Low Risk,Approved,0.08,Standard Risk-Based Rate,29160.25,699846.0,55097.0,93.94
880,2025-08-04,Etosha Supplies,Construction,Otjozondjupa,12,148,674904,Inventory,36,1157810,308381,2409988,887051,93616,780,2,0,Savings,4814757,0.77,-2.26,0.14,89.3,Low Risk,Approved,0.08,Standard Risk-Based Rate,21149.04,761365.44,86461.44,98.23
881,2025-10-27,Swakop Retail,Construction,Oshikoto,7,31,336196,Payroll Support,24,3657112,443844,1801441,3524721,38975,831,3,0,Property,2074312,0.96,-3.57,0.16,40.4,High Risk,Rejected,0.0,No Pricing Offer,0.0,0.0,0.0,44.44
882,2025-04-24,Luderitz Technologies,Technology,Oshana,22,237,855759,Construction,12,5635699,676875,1663670,3894212,95073,565,3,0,Equipment,2641305,0.69,-2.18,0.32,29.8,High Risk,Rejected,0.0,No Pricing Offer,0.0,0.0,0.0,32.78
883,2025-02-25,Oshana Retail,Technology,Erongo,24,215,2279380,Working Capital,36,12856984,795843,2143429,733598,55915,711,8,0,Vehicle,4360952,0.06,4.93,0.52,48.6,Medium Risk,Review,0.15,Elevated Risk Premium,79015.46,2844556.56,565176.56,53.46
884,2025-02-28,Etosha Trading,Technology,Hardap,14,135,58863,Expansion,36,10153178,536660,2018743,2533836,90410,520,2,0,Property,2750855,0.25,3.42,0.02,42.0,High Risk,Rejected,0.0,No Pricing Offer,0.0,0.0,0.0,46.2
885,2025-08-05,Namib Manufacturing,Mining Services,Oshikoto,21,221,1162062,Equipment Purchase,24,11265299,425600,621663,1101104,58394,650,0,0,Vehicle,442402,0.1,8.79,2.63,67.9,Medium Risk,Review,0.15,Elevated Risk Premium,56344.49,1352267.76,190205.76,74.69
886,2025-07-09,Swakop Food Services,Agriculture,Kavango East,15,164,2246120,Payroll Support,48,10741562,84634,1003784,2742504,78598,537,2,0,Property,4627519,0.26,10.31,0.49,22.9,High Risk,Rejected,0.0,No Pricing Offer,0.0,0.0,0.0,25.19
887,2025-11-07,Otji Logistics,Technology,Khomas,17,76,388489,Payroll Support,24,10409157,785313,89922,3431362,85102,831,6,0,Vehicle,729210,0.33,0.96,0.53,-1.9,High Risk,Rejected,0.0,No Pricing Offer,0.0,0.0,0.0,0.0
888,2025-06-06,Otji Logistics,Retail,Kavango West,6,123,727053,Technology Upgrade,48,3978582,388757,1513115,522396,88426,771,3,0,Vehicle,1495786,0.13,-0.65,0.49,57.1,Medium Risk,Review,0.15,Elevated Risk Premium,20234.43,971252.64,244199.64,62.81
889,2025-09-28,Namib Farming,Agriculture,Kavango East,22,175,1062526,Expansion,12,11356193,648714,2798744,2310068,88470,474,4,1,Livestock,868934,0.2,3.36,1.22,31.3,High Risk,Rejected,0.0,No Pricing Offer,0.0,0.0,0.0,34.43
890,2025-12-04,Erongo Technologies,Transport,Kavango West,2,156,2099416,Working Capital,60,6043127,429275,2385648,2250780,9414,627,5,0,Vehicle,4011984,0.37,7.89,0.52,20.9,High Risk,Rejected,0.0,No Pricing Offer,0.0,0.0,0.0,22.99
891,2025-02-24,Oshana Trading,Tourism,Otjozondjupa,16,211,721421,Technology Upgrade,60,10406056,776056,2146092,3167415,97607,537,7,0,Savings,3821246,0.3,0.93,0.19,2.9,High Risk,Rejected,0.0,No Pricing Offer,0.0,0.0,0.0,3.19
892,2025-08-08,Gobabis Manufacturing,Food Services,Hardap,13,144,1092205,Working Capital,24,12459810,654847,151970,3469208,76640,456,2,0,Inventory,2962181,0.28,5.0,0.37,-12.6,High Risk,Rejected,0.0,No Pricing Offer,0.0,0.0,0.0,0.0
893,2025-09-11,Etosha Manufacturing,Agriculture,Oshikoto,10,122,1399202,Construction,24,13665349,254089,1863555,3629797,79233,849,0,1,Vehicle,2151790,0.27,11.17,0.65,50.9,Medium Risk,Review,0.15,Elevated Risk Premium,67842.61,1628222.64,229020.64,55.99
894,2025-03-16,Kalahari Trading,Transport,Oshikoto,24,62,1763841,Expansion,48,14010265,749371,1493199,2201902,47621,498,5,1,Property,4673671,0.16,8.78,0.38,3.6,High Risk,Rejected,0.0,No Pricing Offer,0.0,0.0,0.0,3.96
895,2025-06-19,Okavango Retail,Food Services,Kavango West,1,195,1623873,Technology Upgrade,36,5448619,521520,1732505,1466429,96108,744,8,0,Inventory,1824096,0.27,-0.7,0.89,1.9,High Risk,Rejected,0.0,No Pricing Offer,0.0,0.0,0.0,2.09
896,2025-09-29,Walvis Farming,Logistics,Oshikoto,9,175,2091338,Expansion,48,10222017,86521,1527187,2629607,111722,548,6,1,Inventory,3233271,0.26,6.85,0.65,-25.5,High Risk,Rejected,0.0,No Pricing Offer,0.0,0.0,0.0,0.0
897,2025-01-12,Swakop Tours,Tourism,Hardap,24,248,1415731,Expansion,24,7700794,310352,1601595,3937379,90255,665,0,0,Savings,3289205,0.51,3.67,0.43,65.2,Medium Risk,Review,0.15,Elevated Risk Premium,68644.05,1647457.2,231726.2,71.72
898,2025-04-13,Windhoek Technologies,Food Services,Hardap,14,118,952332,Inventory,12,346351,601218,2466763,2206331,56889,580,2,0,Livestock,3377488,6.37,-10.06,0.28,60.3,Medium Risk,Review,0.15,Elevated Risk Premium,85955.88,1031470.56,79138.56,66.33
